name, state, county
Boston, MA, 25
Detroit, MI, 163
Los Angeles, CA, 37
New York City, NY, 61
New York City, NY, 47
New York City, NY, 81
New York City, NY, 5
Chicago, IL, 31
Atlanta, GA, 89
Atlanta, GA, 121
Philadelphia, PA, 101
Miami, FL, 86
Seattle, WA, 33
Houston, TX, 201
Houston, TX, 157
Houston, TX, 339
Phoenix, AZ, 13
San Diego, CA, 73
Austin, TX, 491
Austin, TX, 453
Austin, TX, 209
San Jose, CA, 85
Indianapolis, IN, 97
Denver, CO, 31
Memphis, TN, 157
Dallas, TX, 113
Dallas, TX, 85
Dallas, TX, 121
Dallas, TX, 397
Dallas, TX, 257
Newark, NJ, 13
Jersey City, NJ, 17
San Francisco, CA, 75
Providence, RI, 7
Washington DC, DC, 1
Baltimore, MD, 510
Pittsburgh, PA, 3
Richmond, VA, 760
St. Louis, MO, 510
Minneapolis, MN, 53
Milwaukee, WI, 79
San Antonio, TX, 29
Jacksonville, FL, 31
Columbus, OH, 49
Fort Worth, TX, 439
Charlotte, NC, 119
El Paso, TX, 141
Nashville, TN, 37
Las Vegas, NV, 3
Louisville, KY, 111
Albuquerque, NM, 1
Portland, OR, 51
Oklahoma City, OK, 109
Oklahoma City, OK, 17
Oklahoma City, OK, 27
Tucson, AZ, 19 
Fresno, CA, 19
Sacramento, CA, 67
Kansas City, MO, 95
Kansas City, MO, 47
Kansas City, MO, 165
Kansas City, MO, 37
Colorado Springs, CO, 41
Virginia Beach, VA, 810
Raleigh, NC, 183
Omaha, NE, 55
Oakland, CA, 1
Wichita, KS, 173
New Orleans, LA, 71
Bakersfield, CA, 29
Tampa, FL, 57
Honolulu, HI, 3 
Cleveland, OH, 35