original,aggregated
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..White.alone,White
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Black.or.African.American.alone,Black
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..American.Indian.and.Alaska.Native.alone,Other
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Asian.alone,Asian
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.alone,Other
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Some.other.race.alone,Other
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Two.or.more.races.,Other
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Two.or.more.races..Two.races.including.Some.other.race,Other
Hispanic.or.Latino.by.Race..Not.Hispanic.or.Latino..Two.or.more.races..Two.races.excluding.Some.other.race..and.three.or.more.races,Other
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..White.alone,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Black.or.African.American.alone,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..American.Indian.and.Alaska.Native.alone,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Asian.alone,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Native.Hawaiian.and.Other.Pacific.Islander.alone,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Some.other.race.alone,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Two.or.more.races.,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Two.or.more.races..Two.races.including.Some.other.race,Hispanic
Hispanic.or.Latino.by.Race..Hispanic.or.Latino..Two.or.more.races..Two.races.excluding.Some.other.race..and.three.or.more.races,Hispanic